ลำดับ,เมือง,ย่าน,ชื่อร้าน / สถานที่,ประเภท,อาหาร / จุดเด่น,เวลาเปิด-ปิด,เมนูเด็ด / ไฮไลต์,โน้ตส่วนตัว,ลิงก์ Google Maps,ลิงก์ ภาพรีวิว
43,Osaka,Namba,Osaka Takashimaya (大阪高島屋),ช้อปปิ้ง,ห้างสรรพสินค้าและศูนย์รวมอาหารชั้นใต้ดิน (Department Store / Depachika),10:00 – 20:00 (ร้านอาหารชั้นบนถึง 23:00),"แหล่งรวมขนมของฝากพรีเมียมทั่วญี่ปุ่นชั้น B1, แบรนด์เนม แฟชั่น และร้านอาหารชื่อดัง",,"https://www.google.com/maps/search/?api=1&query=34.6646089,135.5012633&query_place_id=Osaka%20Takashimaya%20Namba",https://www.google.com/search?tbm=isch&q=Osaka%20Takashimaya%20Namba%20japan%20food%20review
44,Osaka,Shinsaibashi,PARCO GALLERY OSAKA (心斎橋PARCO 14F),สถานที่ท่องเที่ยว,แกลเลอรีศิลปะและนิทรรศการป๊อปคัลเจอร์ (Art Gallery & Exhibition),10:00 – 20:00,พื้นที่จัดนิทรรศการศิลปะร่วมสมัย ป๊อปอาร์ต อนิเมะ และสินค้าลิมิเต็ดหมุนเวียน,,"https://www.google.com/maps/search/?api=1&query=34.6738705,135.5007267&query_place_id=PARCO%20GALLERY%20OSAKA%20Shinsaibashi",https://www.google.com/search?tbm=isch&q=PARCO%20GALLERY%20OSAKA%20Shinsaibashi%20japan%20food%20review
45,Osaka,Minoh,Katsuoji (วัดคัตสึโอจิ - 勝尾寺),สถานที่ท่องเที่ยว,วัดแห่งชัยชนะและตุ๊กตาดารุมะนับหมื่นตัว (Temple of Good Fortune),08:00 – 17:00 (เสาร์-อาทิตย์ถึง 18:00),วัดขอพรชัยชนะ โอบล้อมด้วยตุ๊กตาดารุมะสีแดงนับหมื่นตัวทั่ววัด ทิวทัศน์ธรรมชาติสวยงาม,,"https://www.google.com/maps/search/?api=1&query=34.8657752,135.491087&query_place_id=Katsuoji%20Minoh",https://www.google.com/search?tbm=isch&q=Katsuoji%20Minoh%20japan%20food%20review
46,Osaka,Tennoji / Abeno,Harukas 300 (จุดชมวิว ฮารุกัส 300 - Abeno Harukas),สถานที่ท่องเที่ยว,จุดชมวิวตึกระฟ้า 360 องศา (Observatory Deck ชั้น 58-60),09:00 – 22:00,ชมทัศนียภาพเมืองโอซาก้าแบบพาโนรามา 360 องศาทั้งกลางวันและแสงสียามค่ำคืน,,"https://www.google.com/maps/search/?api=1&query=34.6463062,135.5133091&query_place_id=Harukas%20300%20Tennoji%20/%20Abeno",https://www.google.com/search?tbm=isch&q=Harukas%20300%20Tennoji%20/%20Abeno%20japan%20food%20review
47,Osaka,Kizu Market / Namba,Uoichi Shokudo (魚市食堂 - ตลาดปลาคิซุ),ร้านอาหาร,ข้าวหน้าปลาดิบซีฟู้ดดงบุริสดจากตลาดเช้า (Seafood Donburi),06:00 – 13:00 (ปิดพุธและอาทิตย์),Tokusen Kaisendon (ข้าวหน้าปลาดิบรวมพรีเมียม โปะอูนิ โฮตาเตะ แซลมอน ทูน่า กุ้งหวาน),,"https://www.google.com/maps/search/?api=1&query=34.6570455,135.4996569&query_place_id=Uoichi%20Shokudo%20Kizu%20Market%20/%20Namba",https://www.google.com/search?tbm=isch&q=Uoichi%20Shokudo%20Kizu%20Market%20/%20Namba%20japan%20food%20review
48,Osaka,Naniwa / Namba,Osaka Kizu Wholesale Market (ตลาดค้าส่งคิซุ - 大阪木津卸売市場),สถานที่ท่องเที่ยว / ตลาดสด,ตลาดปลาและผลไม้สดขายส่งท้องถิ่น (Local Wholesale Fish Market),05:00 – 12:00 (เช้าตรู่ ปิดพุธและอาทิตย์),เดินชิมอาหารทะเลสด ซาชิมิ ปลาดิบ สตรอว์เบอร์รีและองุ่นญี่ปุ่นคัดเกรดประมูล,,"https://www.google.com/maps/search/?api=1&query=34.6573279,135.5001719&query_place_id=Osaka%20Kizu%20Wholesale%20Market%20Naniwa%20/%20Namba",https://www.google.com/search?tbm=isch&q=Osaka%20Kizu%20Wholesale%20Market%20Naniwa%20/%20Namba%20japan%20food%20review
49,Osaka,Shinsaibashi,Rikimaru Shinsaibashi (爐ばた焼 力丸 心斎橋店),ร้านอาหาร,โรบาตายากิ ปิ้งย่างเตาถ่านเสิร์ฟด้วยไม้พายยาว (Robatayaki Izakaya),16:00 – 23:00,"หอยเชลล์โฮตาเตะย่างเนยโชยุ, กุ้งลายเสือย่างเกลือ, ไก่และผักเสียบไม้ย่างถ่าน ราคาสุดคุ้ม",,"https://www.google.com/maps/search/?api=1&query=34.6718068,135.5022053&query_place_id=Rikimaru%20Shinsaibashi%20Shinsaibashi",https://www.google.com/search?tbm=isch&q=Rikimaru%20Shinsaibashi%20Shinsaibashi%20japan%20food%20review
50,Osaka,Namba,Shabuwara Namba Grand Kagetsu (しゃぶ笑 なんばグランド花月店),ร้านอาหาร,ชาบูชาบูหม้อเดี่ยว (Individual Shabu-shabu),11:00 – 22:00,ชุดชาบูเนื้อวัวคุโรเกะวากิวหม้อเดี่ยว เสิร์ฟพร้อมบาร์ผักสดและข้าวไม่อั้น (ชั้น 1F Namba Grand Kagetsu),,"https://www.google.com/maps/search/?api=1&query=34.665108,135.50363&query_place_id=Shabuwara%20Namba%20Grand%20Kagetsu%20Namba",https://www.google.com/search?tbm=isch&q=Shabuwara%20Namba%20Grand%20Kagetsu%20Namba%20japan%20food%20review
51,Osaka,Namba / Sennichimae,Tempura Makino Namba (天ぷら まきの 難波千日前店),ร้านอาหาร,เทมปุระทอดสดเสิร์ฟทีละชิ้น (Freshly-fried Tempura),11:00 – 22:00,"Makino Teishoku (เซ็ตเทมปุระรวมพร้อมไข่ต้มเทมปุระเยิ้มๆ คลุกข้าวสวยโรยพริกไทยดำ), กุ้งและหอยนางรม",,"https://www.google.com/maps/search/?api=1&query=34.6664593,135.5019007&query_place_id=Tempura%20Makino%20Namba%20Namba%20/%20Sennichimae",https://www.google.com/search?tbm=isch&q=Tempura%20Makino%20Namba%20Namba%20/%20Sennichimae%20japan%20food%20review
52,Osaka,Rinku Town / Izumisano,Rinku Marble Beach (หาดหินอ่อนรินคู - りんくうマーブルビーチ),สถานที่ท่องเที่ยว,หาดหินอ่อนสีขาวและสวนสาธารณะริมทะเล (Seaside Beach & Sunset Spot),เปิด 24 ชั่วโมง,หาดหินอ่อนสีขาวทอดยาว จุดชมพระอาทิตย์ตกดินติดอันดับ 1 ใน 100 ของญี่ปุ่น วิวเครื่องบินขึ้นลง,,"https://www.google.com/maps/search/?api=1&query=34.4036344,135.2890674&query_place_id=Rinku%20Marble%20Beach%20Rinku%20Town%20/%20Izumisano",https://www.google.com/search?tbm=isch&q=Rinku%20Marble%20Beach%20Rinku%20Town%20/%20Izumisano%20japan%20food%20review
53,Osaka,Rinku Town / Izumisano,Rinku Town (รินคูทาวน์ - 臨空タウン),สถานที่ท่องเที่ยว / ช้อปปิ้ง,เมืองท่องเที่ยวริมทะเล ช้อปปิ้ง และชิงช้าสวรรค์ (Waterfront Commercial Town),10:00 – 20:00,"ชิงช้าสวรรค์ยักษ์ Rinku no Hoshi, ช้อปปิ้งมอลล์ Seacle และ Outlet ริมอ่าว",,"https://www.google.com/maps/search/?api=1&query=34.4103498,135.2998223&query_place_id=Rinku%20Town%20Rinku%20Town%20/%20Izumisano",https://www.google.com/search?tbm=isch&q=Rinku%20Town%20Rinku%20Town%20/%20Izumisano%20japan%20food%20review
54,Kyoto,Karasuma Oike / Nakagyo,(THISIS)SHIZEN (ディス イズ シゼン - 新風館 1F),คาเฟ่ / ขนมหวาน,ไอศกรีมศิลปะช่อดอกไม้ถั่วแดงกวน (Botanical Sweets),10:00 – 19:00,Ice Bouquet (ไอศกรีมซอฟต์เสิร์ฟประดับกลีบดอกไม้แกะสลักจากถั่วแดงกวน สวยงามและอร่อย),,"https://www.google.com/maps/search/?api=1&query=35.009357,135.7599419&query_place_id=%20Karasuma%20Oike%20/%20Nakagyo",https://www.google.com/search?tbm=isch&q=%20Karasuma%20Oike%20/%20Nakagyo%20japan%20food%20review
55,Kyoto,Kawaramachi / Shijo,Kawaramachi-dori St (ถนนคาวารามาจิ - 河原町通り),สถานที่ท่องเที่ยว / ช้อปปิ้ง,ถนนช้อปปิ้งใจกลางเมืองเกียวโต (Shopping & Cultural Street),เปิด 24 ชั่วโมง (ร้านค้า 10:30 – 20:00),"แหล่งรวมห้างดัง (BAL, Takashimaya), ร้านค้า, คาเฟ่ริมคลองทาคาสะ และแม่น้ำคาโมะ",,"https://www.google.com/maps/search/?api=1&query=35.0016984,135.7689646&query_place_id=Kawaramachi-dori%20St%20Kawaramachi%20/%20Shijo",https://www.google.com/search?tbm=isch&q=Kawaramachi-dori%20St%20Kawaramachi%20/%20Shijo%20japan%20food%20review
56,Kyoto,Shimogyo / Kyoto Station,Totaro (藤太郎 - โททาโร่ เกียวโต),ร้านอาหาร,โอเด้งและอาหารพื้นบ้านเกียวโต (Kyoto Obanzai & Oden Izakaya),17:00 – 23:00 (ปิดวันอาทิตย์),"โอเด้งน้ำซุปดาชิใส หัวไชเท้าต้มฉ่ำ, ปลาดิบตามฤดูกาล, เมนูต้มตุ๋นสไตล์โอบันไซ",,"https://www.google.com/maps/search/?api=1&query=34.9941419,135.7617536&query_place_id=Totaro%20Shimogyo%20/%20Kyoto%20Station",https://www.google.com/search?tbm=isch&q=Totaro%20Shimogyo%20/%20Kyoto%20Station%20japan%20food%20review
57,Kyoto,Miyazu (ตอนเหนือเกียวโต),Amanohashidate (สะพานสู่อัศจรรย์ อามาโนะฮาชิดาเตะ - 天橋立),สถานที่ท่องเที่ยว,1 ใน 3 ทิวทัศน์ที่งดงามที่สุดของญี่ปุ่น (Three Views of Japan),สันทรายเปิดตลอดเวลา (กระเช้า View Land 09:00 – 17:00),"แนวสันทรายต้นสนยาว 3.6 กม., วิวมังกรเหินฟ้าผ่านหว่างขา (Matanozoki)",,"https://www.google.com/maps/search/?api=1&query=35.5698022,135.1918204&query_place_id=Amanohashidate%20Miyazu%20%28%E0%B8%95%E0%B8%AD%E0%B8%99%E0%B9%80%E0%B8%AB%E0%B8%99%E0%B8%B7%E0%B8%AD%E0%B9%80%E0%B8%81%E0%B8%B5%E0%B8%A2%E0%B8%A7%E0%B9%82%E0%B8%95%29",https://www.google.com/search?tbm=isch&q=Amanohashidate%20Miyazu%20%28%E0%B8%95%E0%B8%AD%E0%B8%99%E0%B9%80%E0%B8%AB%E0%B8%99%E0%B8%B7%E0%B8%AD%E0%B9%80%E0%B8%81%E0%B8%B5%E0%B8%A2%E0%B8%A7%E0%B9%82%E0%B8%95%29%20japan%20food%20review
58,Kyoto,Ine (ตอนเหนือเกียวโต),Ine Funaya (หมู่บ้านชาวประมงอิเนะ ฟุนายะ - 伊根の舟屋),สถานที่ท่องเที่ยว,หมู่บ้านชาวประมงโบราณริมอ่าว (Traditional Fishing Village),เดินชมได้ตลอด (เรือนำเที่ยว 09:00 – 16:00),"บ้านเรือนฟุนายะริมน้ำกว่า 230 หลัง, นั่งเรือชมอ่าวให้อาหารนกนางนวล, คาเฟ่ริมทะเล Ine Cafe",,"https://www.google.com/maps/search/?api=1&query=35.6751496,135.2727148&query_place_id=Ine%20Funaya%20Ine%20%28%E0%B8%95%E0%B8%AD%E0%B8%99%E0%B9%80%E0%B8%AB%E0%B8%99%E0%B8%B7%E0%B8%AD%E0%B9%80%E0%B8%81%E0%B8%B5%E0%B8%A2%E0%B8%A7%E0%B9%82%E0%B8%95%29",https://www.google.com/search?tbm=isch&q=Ine%20Funaya%20Ine%20%28%E0%B8%95%E0%B8%AD%E0%B8%99%E0%B9%80%E0%B8%AB%E0%B8%99%E0%B8%B7%E0%B8%AD%E0%B9%80%E0%B8%81%E0%B8%B5%E0%B8%A2%E0%B8%A7%E0%B9%82%E0%B8%95%29%20japan%20food%20review
59,Kyoto,Higashiyama / Tofukuji,Chikujō Sō (竹城荘 - ชิคุโจโซ เกียวโต),ที่พัก / เรียวกัง,ที่พักสไตล์ญี่ปุ่นดั้งเดิม (Traditional Japanese Inn / Ryokan),เช็คอิน 15:00 เป็นต้นไป,ที่พักบรรยากาศสงบ ใกล้วัดโทฟุคุจิและศาลเจ้าฟูชิมิอินาริ,,"https://www.google.com/maps/search/?api=1&query=34.9745544,135.7732477&query_place_id=Chikuj%C5%8D%20S%C5%8D%20Higashiyama%20/%20Tofukuji",https://www.google.com/search?tbm=isch&q=Chikuj%C5%8D%20S%C5%8D%20Higashiyama%20/%20Tofukuji%20japan%20food%20review
60,Yamanashi,Hokuto (โฮคุโตะ ทางเหนือฟูจิ),Tsusenkyo (หุบเขาซึเซ็นเคียว - 通仙峡),สถานที่ท่องเที่ยว,หุบเขาช่องแคบธรรมชาติและจุดชมใบไม้เปลี่ยนสี (Scenic Gorge & Valley),เปิดตลอดวัน (แนะนำชมช่วงกลางวัน),สะพานแขวนข้ามหุบเขา วิวแม่น้ำมิตากิและธรรมชาติป่าเขา ทิวทัศน์ใบไม้เปลี่ยนสียอดนิยม,,"https://www.google.com/maps/search/?api=1&query=35.858294,138.511784&query_place_id=Tsusenkyo%20Hokuto%20%28%E0%B9%82%E0%B8%AE%E0%B8%84%E0%B8%B8%E0%B9%82%E0%B8%95%E0%B8%B0%20%E0%B8%97%E0%B8%B2%E0%B8%87%E0%B9%80%E0%B8%AB%E0%B8%99%E0%B8%B7%E0%B8%AD%E0%B8%9F%E0%B8%B9%E0%B8%88%E0%B8%B4%29",https://www.google.com/search?tbm=isch&q=Tsusenkyo%20Hokuto%20%28%E0%B9%82%E0%B8%AE%E0%B8%84%E0%B8%B8%E0%B9%82%E0%B8%95%E0%B8%B0%20%E0%B8%97%E0%B8%B2%E0%B8%87%E0%B9%80%E0%B8%AB%E0%B8%99%E0%B8%B7%E0%B8%AD%E0%B8%9F%E0%B8%B9%E0%B8%88%E0%B8%B4%29%20japan%20food%20review
